@N: MF249 |Running in 32-bit mode.
@N: MF257 |Gated clock conversion enabled 
@N: MF546 |Generated clock conversion enabled 
@N: MF203 |Set autoconstraint_io 
@N: BN362 :"/home/sora/work/ethout/source/wb_tlc/async_pkt_fifo.v":29:0:29:5|Removing sequential instance I_async_pkt_fifo.AlmostFull of view:PrimLib.dffr(prim) in hierarchy view:work.wb_tlc_req_fifo_16s_27s(verilog) because there are no references to its outputs 
@N: BN362 :"/home/sora/work/ethout/source/wb_tlc/sync_logic.v":95:0:95:5|Removing sequential instance I_async_pkt_fifo.I_rd2wr_sync.data_buf_sync[10:0] of view:PrimLib.dffre(prim) in hierarchy view:work.wb_tlc_req_fifo_16s_27s(verilog) because there are no references to its outputs 
@N: BN362 :"/home/sora/work/ethout/source/wb_tlc/sync_logic.v":79:0:79:5|Removing sequential instance I_async_pkt_fifo.I_rd2wr_sync.data_buf[10:0] of view:PrimLib.dffre(prim) in hierarchy view:work.wb_tlc_req_fifo_16s_27s(verilog) because there are no references to its outputs 
@N: BN362 :"/home/sora/work/ethout/source/wb_tlc/sync_logic.v":95:0:95:5|Removing sequential instance I_async_pkt_fifo.I_rd2wr_sync.update_ack of view:PrimLib.dffr(prim) in hierarchy view:work.wb_tlc_req_fifo_16s_27s(verilog) because there are no references to its outputs 
@N: BN362 :"/home/sora/work/ethout/source/wb_tlc/sync_logic.v":95:0:95:5|Removing sequential instance I_async_pkt_fifo.I_rd2wr_sync.update_strobe_dly[3:0] of view:PrimLib.dffr(prim) in hierarchy view:work.wb_tlc_req_fifo_16s_27s(verilog) because there are no references to its outputs 
@N: BN362 :"/home/sora/work/ethout/source/wb_tlc/sync_logic.v":79:0:79:5|Removing sequential instance I_async_pkt_fifo.I_rd2wr_sync.update_ack_dly[1:0] of view:PrimLib.dffr(prim) in hierarchy view:work.wb_tlc_req_fifo_16s_27s(verilog) because there are no references to its outputs 
@N: BN362 :"/home/sora/work/ethout/source/wb_tlc/sync_logic.v":79:0:79:5|Removing sequential instance I_async_pkt_fifo.I_rd2wr_sync.update_strobe of view:PrimLib.dffr(prim) in hierarchy view:work.wb_tlc_req_fifo_16s_27s(verilog) because there are no references to its outputs 
