@W: MO171 :|Sequential instance cpld.G_11 reduced to a combinational gate by constant propagation 
@W: MO111 :"/home/sora/work/ethout/source/wb_tlc/wb_tlc.v":46:14:46:18|Tristate driver debug_1 on net debug_1 has its enable tied to GND (module wb_tlc) 
@W: MO111 :"/home/sora/work/ethout/source/wb_tlc/wb_tlc.v":46:14:46:18|Tristate driver debug_2 on net debug_2 has its enable tied to GND (module wb_tlc) 
@W: MO111 :"/home/sora/work/ethout/source/wb_tlc/wb_tlc.v":46:14:46:18|Tristate driver debug_3 on net debug_3 has its enable tied to GND (module wb_tlc) 
@W: MO111 :"/home/sora/work/ethout/source/wb_tlc/wb_tlc.v":46:14:46:18|Tristate driver debug_4 on net debug_4 has its enable tied to GND (module wb_tlc) 
@W: MO111 :"/home/sora/work/ethout/source/wb_tlc/wb_tlc.v":46:14:46:18|Tristate driver debug_5 on net debug_5 has its enable tied to GND (module wb_tlc) 
@W: MO111 :"/home/sora/work/ethout/source/wb_tlc/wb_tlc.v":46:14:46:18|Tristate driver debug_6 on net debug_6 has its enable tied to GND (module wb_tlc) 
@W: MO111 :"/home/sora/work/ethout/source/wb_tlc/wb_tlc.v":46:14:46:18|Tristate driver debug_7 on net debug_7 has its enable tied to GND (module wb_tlc) 
@W: MO111 :"/home/sora/work/ethout/source/wb_tlc/wb_tlc.v":46:14:46:18|Tristate driver debug_8 on net debug_8 has its enable tied to GND (module wb_tlc) 
@W: MO111 :"/home/sora/work/ethout/source/wb_tlc/wb_tlc.v":46:14:46:18|Tristate driver debug_9 on net debug_9 has its enable tied to GND (module wb_tlc) 
@W: MO111 :"/home/sora/work/ethout/source/wb_tlc/wb_tlc.v":46:14:46:18|Tristate driver debug_10 on net debug_10 has its enable tied to GND (module wb_tlc) 
@W: MO111 :"/home/sora/work/ethout/source/wb_tlc/wb_tlc.v":46:14:46:18|Tristate driver debug_11 on net debug_11 has its enable tied to GND (module wb_tlc) 
@W: MO111 :"/home/sora/work/ethout/source/wb_tlc/wb_tlc.v":46:14:46:18|Tristate driver debug_12 on net debug_12 has its enable tied to GND (module wb_tlc) 
@W: MO111 :"/home/sora/work/ethout/source/wb_tlc/wb_tlc.v":46:14:46:18|Tristate driver debug_13 on net debug_13 has its enable tied to GND (module wb_tlc) 
@W: MO111 :"/home/sora/work/ethout/source/wb_tlc/wb_tlc.v":46:14:46:18|Tristate driver debug_14 on net debug_14 has its enable tied to GND (module wb_tlc) 
@W: MO111 :"/home/sora/work/ethout/source/wb_tlc/wb_tlc.v":46:14:46:18|Tristate driver debug_15 on net debug_15 has its enable tied to GND (module wb_tlc) 
@W: MO111 :"/home/sora/work/ethout/source/wb_tlc/wb_tlc.v":46:14:46:18|Tristate driver debug_16 on net debug_16 has its enable tied to GND (module wb_tlc) 
@W: MO111 :"/home/sora/work/ethout/source/wb_tlc/wb_tlc.v":46:14:46:18|Tristate driver debug_17 on net debug_17 has its enable tied to GND (module wb_tlc) 
@W: MO111 :"/home/sora/work/ethout/source/wb_tlc/wb_tlc.v":46:14:46:18|Tristate driver debug_18 on net debug_18 has its enable tied to GND (module wb_tlc) 
@W: MO111 :"/home/sora/work/ethout/source/wb_tlc/wb_tlc.v":46:14:46:18|Tristate driver debug_19 on net debug_19 has its enable tied to GND (module wb_tlc) 
